EmployeeID,Name,Department,Role,AccessLevel
1,Emp_1,Security,Admin,Low
2,Emp_2,Operations,Admin,Low
3,Emp_3,HR,Admin,Medium
4,Emp_4,Operations,Admin,Medium
5,Emp_5,Operations,Admin,Low
6,Emp_6,Finance,Analyst,High
7,Emp_7,HR,Admin,Low
8,Emp_8,HR,Analyst,Medium
9,Emp_9,HR,Admin,Medium
10,Emp_10,Operations,Manager,High
11,Emp_11,Security,Engineer,Medium
12,Emp_12,HR,Analyst,High
13,Emp_13,Operations,Admin,Low
14,Emp_14,Finance,Manager,High
15,Emp_15,Security,Engineer,Low
16,Emp_16,Finance,Analyst,High
17,Emp_17,Security,Engineer,Medium
18,Emp_18,Operations,Manager,High
19,Emp_19,IT,Analyst,Low
20,Emp_20,Security,Engineer,Medium
21,Emp_21,Finance,Admin,Medium
22,Emp_22,Operations,Analyst,Medium
23,Emp_23,Security,Engineer,Low
24,Emp_24,IT,Manager,Low
25,Emp_25,IT,Manager,Low
26,Emp_26,HR,Analyst,Low
27,Emp_27,HR,Engineer,High
28,Emp_28,Finance,Analyst,Low
29,Emp_29,Security,Analyst,High
30,Emp_30,Security,Engineer,Low
31,Emp_31,HR,Engineer,Low
32,Emp_32,Security,Admin,Medium
33,Emp_33,Security,Engineer,Medium
34,Emp_34,IT,Manager,Low
35,Emp_35,HR,Analyst,Medium
36,Emp_36,Operations,Analyst,Medium
37,Emp_37,HR,Manager,Low
38,Emp_38,Operations,Engineer,High
39,Emp_39,IT,Manager,High
40,Emp_40,Finance,Manager,Medium
41,Emp_41,Security,Admin,Low
42,Emp_42,IT,Manager,Medium
43,Emp_43,Security,Analyst,Low
44,Emp_44,Finance,Manager,Low
45,Emp_45,Finance,Analyst,Low
46,Emp_46,IT,Analyst,Low
47,Emp_47,Finance,Analyst,High
48,Emp_48,Operations,Engineer,Medium
49,Emp_49,Finance,Admin,Medium
50,Emp_50,Security,Analyst,Low
51,Emp_51,Security,Analyst,Low
52,Emp_52,Security,Engineer,Low
53,Emp_53,Security,Analyst,High
54,Emp_54,Operations,Manager,Low
55,Emp_55,HR,Manager,High
56,Emp_56,IT,Admin,Medium
57,Emp_57,Security,Analyst,Low
58,Emp_58,Finance,Engineer,Medium
59,Emp_59,Security,Manager,Low
60,Emp_60,Finance,Engineer,High
61,Emp_61,Finance,Engineer,High
62,Emp_62,Security,Manager,Low
63,Emp_63,Operations,Engineer,Low
64,Emp_64,Finance,Manager,Medium
65,Emp_65,Finance,Engineer,High
66,Emp_66,Security,Manager,Low
67,Emp_67,Finance,Analyst,Medium
68,Emp_68,Finance,Admin,Medium
69,Emp_69,Security,Manager,Medium
70,Emp_70,Security,Manager,Low
71,Emp_71,IT,Admin,Medium
72,Emp_72,Operations,Manager,High
73,Emp_73,Operations,Manager,Low
74,Emp_74,Finance,Engineer,Low
75,Emp_75,Operations,Admin,High
76,Emp_76,Finance,Analyst,Low
77,Emp_77,IT,Manager,High
78,Emp_78,Security,Admin,Low
79,Emp_79,Security,Engineer,Low
80,Emp_80,Security,Analyst,High
81,Emp_81,Operations,Admin,Low
82,Emp_82,IT,Analyst,Medium
83,Emp_83,Operations,Analyst,Low
84,Emp_84,Operations,Analyst,Medium
85,Emp_85,IT,Manager,Low
86,Emp_86,IT,Manager,Low
87,Emp_87,IT,Engineer,High
88,Emp_88,IT,Engineer,Low
89,Emp_89,Security,Admin,Medium
90,Emp_90,HR,Engineer,Low
91,Emp_91,HR,Analyst,Medium
92,Emp_92,IT,Analyst,Low
93,Emp_93,HR,Manager,High
94,Emp_94,HR,Analyst,Low
95,Emp_95,IT,Admin,Low
96,Emp_96,HR,Analyst,Low
97,Emp_97,Operations,Analyst,Low
98,Emp_98,Finance,Admin,Medium
99,Emp_99,Finance,Engineer,Low
100,Emp_100,IT,Engineer,High
101,Emp_101,Security,Admin,Low
102,Emp_102,IT,Manager,Low
103,Emp_103,Security,Analyst,Medium
104,Emp_104,Finance,Admin,Medium
105,Emp_105,IT,Analyst,Low
106,Emp_106,Operations,Manager,Low
107,Emp_107,HR,Analyst,Low
108,Emp_108,Security,Admin,Medium
109,Emp_109,HR,Analyst,Medium
110,Emp_110,HR,Engineer,Low
111,Emp_111,IT,Manager,High
112,Emp_112,HR,Manager,High
113,Emp_113,Operations,Manager,Medium
114,Emp_114,HR,Admin,High
115,Emp_115,IT,Manager,Low
116,Emp_116,Operations,Engineer,Low
117,Emp_117,Finance,Admin,Low
118,Emp_118,HR,Engineer,Low
119,Emp_119,IT,Analyst,Medium
120,Emp_120,Finance,Analyst,High
121,Emp_121,Finance,Analyst,Low
122,Emp_122,Security,Analyst,Low
123,Emp_123,Operations,Engineer,Low
124,Emp_124,HR,Admin,High
125,Emp_125,IT,Admin,Low
126,Emp_126,Security,Manager,Medium
127,Emp_127,Operations,Engineer,Low
128,Emp_128,Security,Analyst,Low
129,Emp_129,Operations,Engineer,High
130,Emp_130,Operations,Manager,High
131,Emp_131,HR,Manager,Low
132,Emp_132,Operations,Engineer,High
133,Emp_133,Security,Engineer,Medium
134,Emp_134,Operations,Engineer,High
135,Emp_135,HR,Admin,Low
136,Emp_136,HR,Analyst,Medium
137,Emp_137,Security,Engineer,Low
138,Emp_138,Finance,Engineer,Medium
139,Emp_139,Finance,Engineer,Low
140,Emp_140,Operations,Manager,Low
141,Emp_141,IT,Manager,Low
142,Emp_142,Operations,Admin,Medium
143,Emp_143,Security,Analyst,Low
144,Emp_144,Security,Admin,Medium
145,Emp_145,Security,Analyst,High
146,Emp_146,Security,Manager,Low
147,Emp_147,Security,Manager,Medium
148,Emp_148,HR,Manager,Low
149,Emp_149,Finance,Admin,High
150,Emp_150,Security,Engineer,Low
151,Emp_151,IT,Engineer,Medium
152,Emp_152,IT,Manager,High
153,Emp_153,IT,Engineer,High
154,Emp_154,IT,Engineer,Medium
155,Emp_155,HR,Admin,Low
156,Emp_156,IT,Analyst,Medium
157,Emp_157,Security,Manager,High
158,Emp_158,Operations,Manager,Medium
159,Emp_159,IT,Admin,Low
160,Emp_160,HR,Admin,High
161,Emp_161,HR,Engineer,Medium
162,Emp_162,IT,Manager,Medium
163,Emp_163,Operations,Analyst,Low
164,Emp_164,IT,Admin,Medium
165,Emp_165,HR,Analyst,Low
166,Emp_166,Finance,Analyst,Medium
167,Emp_167,Security,Manager,Low
168,Emp_168,HR,Manager,Medium
169,Emp_169,IT,Admin,High
170,Emp_170,Security,Manager,Low
171,Emp_171,IT,Manager,High
172,Emp_172,IT,Manager,Low
173,Emp_173,Finance,Analyst,High
174,Emp_174,Security,Admin,Medium
175,Emp_175,Security,Engineer,Medium
176,Emp_176,Finance,Analyst,Medium
177,Emp_177,HR,Manager,High
178,Emp_178,IT,Analyst,Low
179,Emp_179,Operations,Manager,Low
180,Emp_180,IT,Manager,Medium
181,Emp_181,IT,Analyst,High
182,Emp_182,HR,Admin,Medium
183,Emp_183,IT,Manager,Medium
184,Emp_184,Finance,Admin,Low
185,Emp_185,Finance,Engineer,High
186,Emp_186,Security,Manager,Low
187,Emp_187,Operations,Admin,Medium
188,Emp_188,IT,Admin,Low
189,Emp_189,IT,Engineer,Low
190,Emp_190,HR,Admin,Low
191,Emp_191,Finance,Admin,Low
192,Emp_192,Operations,Engineer,Medium
193,Emp_193,Security,Manager,Low
194,Emp_194,Finance,Admin,Low
195,Emp_195,Security,Admin,Low
196,Emp_196,HR,Admin,Low
197,Emp_197,HR,Analyst,Low
198,Emp_198,IT,Engineer,Low
199,Emp_199,Operations,Analyst,Medium
200,Emp_200,Security,Engineer,Medium
201,Emp_201,Finance,Manager,Medium
202,Emp_202,HR,Manager,Low
203,Emp_203,IT,Admin,Low
204,Emp_204,IT,Engineer,High
205,Emp_205,Security,Manager,Medium
206,Emp_206,HR,Engineer,Low
207,Emp_207,Operations,Manager,Low
208,Emp_208,HR,Analyst,Low
209,Emp_209,Security,Manager,Low
210,Emp_210,Security,Analyst,Low
211,Emp_211,HR,Manager,Medium
212,Emp_212,Security,Admin,Medium
213,Emp_213,HR,Analyst,Medium
214,Emp_214,Finance,Manager,Medium
215,Emp_215,HR,Admin,High
216,Emp_216,HR,Analyst,Medium
217,Emp_217,Security,Admin,High
218,Emp_218,Security,Engineer,Low
219,Emp_219,IT,Engineer,Low
220,Emp_220,IT,Analyst,Low
221,Emp_221,Finance,Manager,Medium
222,Emp_222,IT,Analyst,High
223,Emp_223,HR,Admin,Low
224,Emp_224,Security,Manager,High
225,Emp_225,IT,Engineer,Low
226,Emp_226,IT,Manager,High
227,Emp_227,Finance,Engineer,Low
228,Emp_228,Finance,Manager,Low
229,Emp_229,HR,Manager,Low
230,Emp_230,Security,Manager,Low
231,Emp_231,Finance,Admin,Low
232,Emp_232,IT,Admin,Low
233,Emp_233,Security,Analyst,High
234,Emp_234,Security,Analyst,Medium
235,Emp_235,IT,Engineer,Low
236,Emp_236,Finance,Admin,Medium
237,Emp_237,IT,Engineer,Medium
238,Emp_238,Security,Analyst,Low
239,Emp_239,Operations,Engineer,Low
240,Emp_240,Operations,Analyst,Low
241,Emp_241,HR,Admin,Low
242,Emp_242,IT,Manager,Medium
243,Emp_243,IT,Admin,Low
244,Emp_244,HR,Engineer,Medium
245,Emp_245,HR,Engineer,Medium
246,Emp_246,HR,Admin,Low
247,Emp_247,Security,Admin,Medium
248,Emp_248,IT,Analyst,Low
249,Emp_249,Security,Engineer,High
250,Emp_250,HR,Engineer,Low
251,Emp_251,IT,Admin,High
252,Emp_252,Security,Manager,Medium
253,Emp_253,Security,Engineer,Low
254,Emp_254,HR,Manager,Medium
255,Emp_255,IT,Admin,High
256,Emp_256,HR,Admin,Medium
257,Emp_257,IT,Analyst,High
258,Emp_258,Operations,Engineer,High
259,Emp_259,Finance,Manager,Low
260,Emp_260,Finance,Analyst,Low
261,Emp_261,Finance,Engineer,Medium
262,Emp_262,HR,Analyst,Low
263,Emp_263,Operations,Admin,High
264,Emp_264,IT,Engineer,High
265,Emp_265,Security,Analyst,Low
266,Emp_266,IT,Analyst,Low
267,Emp_267,Security,Manager,Medium
268,Emp_268,IT,Analyst,Low
269,Emp_269,Operations,Engineer,High
270,Emp_270,Security,Engineer,Low
271,Emp_271,HR,Manager,Medium
272,Emp_272,IT,Engineer,Low
273,Emp_273,IT,Admin,Medium
274,Emp_274,Security,Engineer,Low
275,Emp_275,HR,Engineer,Medium
276,Emp_276,HR,Analyst,Low
277,Emp_277,Operations,Analyst,Medium
278,Emp_278,HR,Engineer,High
279,Emp_279,HR,Manager,Low
280,Emp_280,HR,Analyst,Low
281,Emp_281,Finance,Manager,Low
282,Emp_282,Operations,Engineer,Medium
283,Emp_283,IT,Engineer,Medium
284,Emp_284,Security,Admin,Medium
285,Emp_285,IT,Analyst,Low
286,Emp_286,Operations,Engineer,Low
287,Emp_287,Security,Admin,Medium
288,Emp_288,Operations,Analyst,Low
289,Emp_289,HR,Engineer,High
290,Emp_290,Security,Engineer,Low
291,Emp_291,HR,Analyst,Medium
292,Emp_292,IT,Analyst,Low
293,Emp_293,IT,Analyst,Low
294,Emp_294,Security,Engineer,Medium
295,Emp_295,Security,Engineer,Medium
296,Emp_296,Operations,Admin,High
297,Emp_297,Operations,Manager,Low
298,Emp_298,HR,Analyst,Low
299,Emp_299,Security,Engineer,Medium
300,Emp_300,IT,Engineer,Medium
301,Emp_301,Operations,Analyst,Low
302,Emp_302,Operations,Manager,Low
303,Emp_303,IT,Analyst,Low
304,Emp_304,Operations,Manager,High
305,Emp_305,HR,Engineer,Low
306,Emp_306,Security,Manager,Low
307,Emp_307,IT,Admin,Low
308,Emp_308,Security,Engineer,Low
309,Emp_309,Operations,Admin,Low
310,Emp_310,Operations,Analyst,Medium
311,Emp_311,IT,Analyst,Low
312,Emp_312,HR,Analyst,High
313,Emp_313,Finance,Manager,Low
314,Emp_314,IT,Engineer,Medium
315,Emp_315,Finance,Analyst,High
316,Emp_316,Finance,Analyst,Medium
317,Emp_317,HR,Engineer,Medium
318,Emp_318,Finance,Analyst,Low
319,Emp_319,Finance,Admin,Low
320,Emp_320,HR,Engineer,Medium
321,Emp_321,Finance,Engineer,High
322,Emp_322,Finance,Engineer,Medium
323,Emp_323,Finance,Admin,Medium
324,Emp_324,IT,Engineer,Medium
325,Emp_325,IT,Admin,Low
326,Emp_326,IT,Engineer,Low
327,Emp_327,HR,Manager,Medium
328,Emp_328,Operations,Analyst,High
329,Emp_329,Finance,Manager,Low
330,Emp_330,Finance,Analyst,Medium
331,Emp_331,HR,Admin,Low
332,Emp_332,Finance,Manager,Medium
333,Emp_333,IT,Engineer,Low
334,Emp_334,Operations,Analyst,Low
335,Emp_335,Security,Analyst,Medium
336,Emp_336,Finance,Manager,Low
337,Emp_337,IT,Admin,Medium
338,Emp_338,Security,Manager,Medium
339,Emp_339,Operations,Admin,High
340,Emp_340,Security,Admin,Low
341,Emp_341,IT,Analyst,Low
342,Emp_342,Security,Manager,Low
343,Emp_343,HR,Manager,High
344,Emp_344,Security,Admin,High
345,Emp_345,Finance,Manager,Medium
346,Emp_346,Finance,Engineer,High
347,Emp_347,HR,Engineer,Medium
348,Emp_348,IT,Manager,Medium
349,Emp_349,Finance,Manager,Low
350,Emp_350,Operations,Admin,Medium
351,Emp_351,Finance,Engineer,Low
352,Emp_352,Finance,Engineer,High
353,Emp_353,IT,Analyst,Medium
354,Emp_354,Security,Admin,Medium
355,Emp_355,Finance,Analyst,Low
356,Emp_356,HR,Engineer,Low
357,Emp_357,Security,Admin,Low
358,Emp_358,Operations,Manager,Low
359,Emp_359,IT,Admin,Low
360,Emp_360,Operations,Manager,High
361,Emp_361,Security,Manager,Medium
362,Emp_362,Security,Admin,Low
363,Emp_363,Security,Manager,Low
364,Emp_364,Operations,Analyst,Low
365,Emp_365,Security,Engineer,Medium
366,Emp_366,Operations,Manager,Medium
367,Emp_367,Security,Analyst,High
368,Emp_368,HR,Manager,Low
369,Emp_369,Security,Engineer,High
370,Emp_370,Operations,Analyst,High
371,Emp_371,Finance,Engineer,Low
372,Emp_372,Security,Engineer,High
373,Emp_373,Finance,Analyst,Low
374,Emp_374,HR,Analyst,High
375,Emp_375,IT,Analyst,Low
376,Emp_376,HR,Admin,High
377,Emp_377,Security,Analyst,High
378,Emp_378,Finance,Analyst,High
379,Emp_379,Finance,Analyst,Medium
380,Emp_380,Operations,Analyst,Low
381,Emp_381,Finance,Manager,Low
382,Emp_382,Operations,Admin,Low
383,Emp_383,IT,Engineer,Low
384,Emp_384,Security,Analyst,Medium
385,Emp_385,Operations,Manager,Low
386,Emp_386,IT,Manager,High
387,Emp_387,Finance,Manager,Medium
388,Emp_388,Finance,Engineer,High
389,Emp_389,IT,Analyst,Low
390,Emp_390,Finance,Admin,High
391,Emp_391,IT,Admin,High
392,Emp_392,Operations,Manager,Low
393,Emp_393,Operations,Engineer,Medium
394,Emp_394,IT,Engineer,Medium
395,Emp_395,Operations,Engineer,Low
396,Emp_396,Operations,Admin,Medium
397,Emp_397,Operations,Manager,Low
398,Emp_398,HR,Analyst,Low
399,Emp_399,Security,Admin,Low
400,Emp_400,Finance,Manager,Low
401,Emp_401,HR,Manager,Low
402,Emp_402,Operations,Analyst,Low
403,Emp_403,IT,Analyst,High
404,Emp_404,Operations,Analyst,Medium
405,Emp_405,Security,Engineer,High
406,Emp_406,Operations,Analyst,Low
407,Emp_407,IT,Manager,Low
408,Emp_408,Security,Analyst,Medium
409,Emp_409,Operations,Manager,Low
410,Emp_410,Security,Admin,Low
411,Emp_411,Finance,Engineer,Medium
412,Emp_412,Finance,Admin,Low
413,Emp_413,Operations,Admin,Medium
414,Emp_414,Security,Manager,Medium
415,Emp_415,IT,Admin,Low
416,Emp_416,Operations,Manager,Low
417,Emp_417,Finance,Analyst,Medium
418,Emp_418,Finance,Analyst,Low
419,Emp_419,Operations,Manager,Low
420,Emp_420,Security,Analyst,High
421,Emp_421,Finance,Engineer,Low
422,Emp_422,Security,Admin,Medium
423,Emp_423,Finance,Engineer,High
424,Emp_424,Finance,Admin,Low
425,Emp_425,HR,Analyst,Low
426,Emp_426,Finance,Engineer,Low
427,Emp_427,IT,Analyst,Low
428,Emp_428,Operations,Admin,Low
429,Emp_429,Operations,Manager,Medium
430,Emp_430,Security,Manager,Low
431,Emp_431,Finance,Engineer,Medium
432,Emp_432,IT,Analyst,High
433,Emp_433,Security,Analyst,High
434,Emp_434,HR,Engineer,Medium
435,Emp_435,Security,Manager,Low
436,Emp_436,Security,Admin,Medium
437,Emp_437,Finance,Engineer,Medium
438,Emp_438,HR,Admin,Low
439,Emp_439,Security,Manager,Low
440,Emp_440,IT,Analyst,High
441,Emp_441,IT,Manager,Low
442,Emp_442,Operations,Engineer,Low
443,Emp_443,HR,Analyst,Low
444,Emp_444,HR,Engineer,Low
445,Emp_445,Operations,Engineer,High
446,Emp_446,Security,Manager,Medium
447,Emp_447,HR,Engineer,Medium
448,Emp_448,IT,Manager,Low
449,Emp_449,IT,Analyst,Low
450,Emp_450,Finance,Manager,Low
451,Emp_451,HR,Analyst,Low
452,Emp_452,Security,Manager,Low
453,Emp_453,Operations,Admin,Medium
454,Emp_454,Operations,Admin,Low
455,Emp_455,Security,Engineer,Medium
456,Emp_456,Finance,Manager,Low
457,Emp_457,Operations,Manager,Low
458,Emp_458,HR,Analyst,Low
459,Emp_459,Finance,Engineer,High
460,Emp_460,HR,Manager,High
461,Emp_461,IT,Engineer,High
462,Emp_462,Finance,Admin,Low
463,Emp_463,Operations,Manager,Low
464,Emp_464,Finance,Manager,Medium
465,Emp_465,Finance,Engineer,Low
466,Emp_466,Finance,Manager,High
467,Emp_467,Finance,Engineer,Low
468,Emp_468,HR,Manager,Low
469,Emp_469,IT,Analyst,Low
470,Emp_470,Security,Engineer,Low
471,Emp_471,Finance,Manager,Medium
472,Emp_472,Operations,Admin,Low
473,Emp_473,Finance,Manager,Low
474,Emp_474,Operations,Admin,Low
475,Emp_475,HR,Admin,Low
476,Emp_476,Operations,Analyst,Medium
477,Emp_477,Security,Engineer,High
478,Emp_478,IT,Manager,High
479,Emp_479,Operations,Analyst,Medium
480,Emp_480,Operations,Manager,Low
481,Emp_481,IT,Admin,Medium
482,Emp_482,Security,Engineer,Low
483,Emp_483,Finance,Manager,Low
484,Emp_484,Operations,Manager,High
485,Emp_485,IT,Admin,Low
486,Emp_486,HR,Manager,High
487,Emp_487,IT,Manager,Low
488,Emp_488,HR,Admin,Medium
489,Emp_489,Security,Analyst,Medium
490,Emp_490,Finance,Admin,High
491,Emp_491,IT,Analyst,Medium
492,Emp_492,Operations,Engineer,Medium
493,Emp_493,Security,Analyst,Low
494,Emp_494,IT,Analyst,Medium
495,Emp_495,Operations,Engineer,Low
496,Emp_496,IT,Analyst,Medium
497,Emp_497,HR,Admin,Medium
498,Emp_498,IT,Analyst,Medium
499,Emp_499,IT,Engineer,Low
500,Emp_500,IT,Admin,Low
501,Emp_501,Security,Engineer,Medium
502,Emp_502,IT,Engineer,Low
503,Emp_503,Operations,Manager,Low
